flight_number;date;seats;pax
KL0004;2025-12-02;294;235
KL0005;2025-12-02;294;235
KL0006;2025-12-02;318;254
KL0007;2025-12-02;318;254
KL0008;2025-12-02;294;235
KL0009;2025-12-02;294;235
KL0010;2025-12-02;294;235
KL0011;2025-12-02;294;235
KL0012;2025-12-02;294;235
KL0013;2025-12-02;294;235
KL0500;2025-12-02;288;230
KL0501;2025-12-02;288;230
KL0502;2025-12-02;381;304
KL0503;2025-12-02;381;304
KL0504;2025-12-02;381;304
KL0505;2025-12-02;381;304
KL0506;2025-12-02;288;230
KL0507;2025-12-02;288;230
KL0508;2025-12-02;288;230
KL0509;2025-12-02;288;230
KL0510;2025-12-02;288;230
KL0511;2025-12-02;288;230
KL0512;2025-12-02;288;230
KL0513;2025-12-02;288;230
KL1000;2025-12-02;176;140
KL1001;2025-12-02;176;140
KL1002;2025-12-02;176;140
KL1003;2025-12-02;176;140
KL1004;2025-12-02;176;140
KL1005;2025-12-02;176;140
KL1006;2025-12-02;132;105
KL1007;2025-12-02;132;105
KL1008;2025-12-02;176;140
KL1009;2025-12-02;176;140
KL1010;2025-12-02;132;105
KL1011;2025-12-02;132;105
KL1012;2025-12-02;132;105
KL1013;2025-12-02;132;105
AF0000;2025-12-03;294;235
AF0001;2025-12-03;294;235
AF0002;2025-12-03;318;254
AF0003;2025-12-03;318;254
AF0004;2025-12-03;294;235
AF0005;2025-12-03;294;235
AF0006;2025-12-03;294;235
AF0007;2025-12-03;294;235
AF0008;2025-12-03;294;235
AF0009;2025-12-03;294;235
AF0010;2025-12-03;294;235
AF0011;2025-12-03;294;235
AF0012;2025-12-03;294;235
AF0013;2025-12-03;294;235
AF0500;2025-12-03;381;304
AF0501;2025-12-03;381;304
AF0502;2025-12-03;288;230
AF0503;2025-12-03;288;230
AF0504;2025-12-03;381;304
AF0505;2025-12-03;381;304
AF0506;2025-12-03;288;230
AF0507;2025-12-03;288;230
AF0508;2025-12-03;381;304
AF0509;2025-12-03;381;304
AF0510;2025-12-03;381;304
AF0511;2025-12-03;381;304
AF0512;2025-12-03;288;230
AF0513;2025-12-03;288;230
AF1000;2025-12-03;132;105
AF1001;2025-12-03;132;105
AF1002;2025-12-03;132;105
AF1003;2025-12-03;132;105
AF1004;2025-12-03;132;105
AF1005;2025-12-03;132;105
AF1006;2025-12-03;176;140
AF1007;2025-12-03;176;140
AF1008;2025-12-03;176;140
AF1009;2025-12-03;176;140
AF1010;2025-12-03;176;140
AF1011;2025-12-03;176;140
AF1012;2025-12-03;176;140
AF1013;2025-12-03;176;140
KL0000;2025-12-03;294;235
KL0001;2025-12-03;294;235
KL0002;2025-12-03;294;235
KL0003;2025-12-03;294;235
KL0004;2025-12-03;294;235
KL0005;2025-12-03;294;235
KL0006;2025-12-03;294;235
KL0007;2025-12-03;294;235
KL0008;2025-12-03;318;254
KL0009;2025-12-03;318;254
KL0010;2025-12-03;294;235
KL0011;2025-12-03;294;235
KL0012;2025-12-03;318;254
KL0013;2025-12-03;318;254
KL0500;2025-12-03;288;230
KL0501;2025-12-03;288;230
KL0502;2025-12-03;381;304
KL0503;2025-12-03;381;304
KL0504;2025-12-03;381;304
KL0505;2025-12-03;381;304
KL0506;2025-12-03;381;304
KL0507;2025-12-03;381;304
KL0508;2025-12-03;288;230
KL0509;2025-12-03;288;230
KL0510;2025-12-03;381;304
KL0511;2025-12-03;381;304
KL0512;2025-12-03;381;304
KL0513;2025-12-03;381;304
KL1000;2025-12-03;132;105
KL1001;2025-12-03;132;105
KL1002;2025-12-03;176;140
KL1003;2025-12-03;176;140
KL1004;2025-12-03;176;140
KL1005;2025-12-03;176;140
KL1006;2025-12-03;132;105
KL1007;2025-12-03;132;105
KL1008;2025-12-03;132;105
KL1009;2025-12-03;132;105
KL1010;2025-12-03;132;105
KL1011;2025-12-03;132;105
KL1012;2025-12-03;132;105
KL1013;2025-12-03;132;105
AF0000;2025-12-04;294;235
AF0001;2025-12-04;294;235
AF0002;2025-12-04;318;254
AF0003;2025-12-04;318;254
AF0004;2025-12-04;318;254
AF0005;2025-12-04;318;254
AF0006;2025-12-04;318;254
AF0007;2025-12-04;318;254
AF0008;2025-12-04;318;254
AF0009;2025-12-04;318;254
AF0010;2025-12-04;294;235
AF0011;2025-12-04;294;235
AF0012;2025-12-04;318;254
AF0013;2025-12-04;318;254
AF0500;2025-12-04;381;304
AF0501;2025-12-04;381;304
AF0502;2025-12-04;288;230
AF0503;2025-12-04;288;230
AF0504;2025-12-04;288;230
AF0505;2025-12-04;288;230
AF0506;2025-12-04;288;230
AF0507;2025-12-04;288;230
AF0508;2025-12-04;288;230
AF0509;2025-12-04;288;230
AF0510;2025-12-04;381;304
AF0511;2025-12-04;381;304
AF0512;2025-12-04;381;304
AF0513;2025-12-04;381;304
AF1000;2025-12-04;132;105
AF1001;2025-12-04;132;105
AF1002;2025-12-04;176;140
AF1003;2025-12-04;176;140
AF1004;2025-12-04;132;105
AF1005;2025-12-04;132;105
AF1006;2025-12-04;132;105
AF1007;2025-12-04;132;105
AF1008;2025-12-04;176;140
AF1009;2025-12-04;176;140
AF1010;2025-12-04;176;140
AF1011;2025-12-04;176;140
AF1012;2025-12-04;132;105
AF1013;2025-12-04;132;105
KL0000;2025-12-04;294;235
KL0001;2025-12-04;294;235
KL0002;2025-12-04;294;235
KL0003;2025-12-04;294;235
KL0004;2025-12-04;294;235
KL0005;2025-12-04;294;235
KL0006;2025-12-04;294;235
KL0007;2025-12-04;294;235
KL0008;2025-12-04;294;235
KL0009;2025-12-04;294;235
KL0010;2025-12-04;294;235
KL0011;2025-12-04;294;235
KL0012;2025-12-04;294;235
KL0013;2025-12-04;294;235
KL0500;2025-12-04;288;230
KL0501;2025-12-04;288;230
KL0502;2025-12-04;288;230
KL0503;2025-12-04;288;230
KL0504;2025-12-04;381;304
KL0505;2025-12-04;381;304
KL0506;2025-12-04;288;230
KL0507;2025-12-04;288;230
KL0508;2025-12-04;381;304
KL0509;2025-12-04;381;304
KL0510;2025-12-04;288;230
KL0511;2025-12-04;288;230
KL0512;2025-12-04;288;230
KL0513;2025-12-04;288;230
KL1000;2025-12-04;176;140
KL1001;2025-12-04;176;140
KL1002;2025-12-04;176;140
KL1003;2025-12-04;176;140
KL1004;2025-12-04;176;140
KL1005;2025-12-04;176;140
KL1006;2025-12-04;176;140
KL1007;2025-12-04;176;140
KL1008;2025-12-04;176;140
KL1009;2025-12-04;176;140
KL1010;2025-12-04;176;140
KL1011;2025-12-04;176;140
KL1012;2025-12-04;176;140
KL1013;2025-12-04;176;140
AF0000;2025-12-05;294;235
AF0001;2025-12-05;294;235
AF0002;2025-12-05;294;235
AF0003;2025-12-05;294;235
AF0004;2025-12-05;318;254
AF0005;2025-12-05;318;254
AF0006;2025-12-05;294;235
AF0007;2025-12-05;294;235
AF0008;2025-12-05;318;254
AF0009;2025-12-05;318;254
AF0010;2025-12-05;294;235
AF0011;2025-12-05;294;235
AF0012;2025-12-05;294;235
AF0013;2025-12-05;294;235
AF0500;2025-12-05;288;230
AF0501;2025-12-05;288;230
AF0502;2025-12-05;381;304
AF0503;2025-12-05;381;304
AF0504;2025-12-05;288;230
AF0505;2025-12-05;288;230
AF0506;2025-12-05;288;230
AF0507;2025-12-05;288;230
AF0508;2025-12-05;381;304
AF0509;2025-12-05;381;304
AF0510;2025-12-05;288;230
AF0511;2025-12-05;288;230
AF0512;2025-12-05;381;304
AF0513;2025-12-05;381;304
AF1000;2025-12-05;176;140
AF1001;2025-12-05;176;140
AF1002;2025-12-05;176;140
AF1003;2025-12-05;176;140
AF1004;2025-12-05;132;105
AF1005;2025-12-05;132;105
AF1006;2025-12-05;132;105
AF1007;2025-12-05;132;105
AF1008;2025-12-05;132;105
AF1009;2025-12-05;132;105
AF1010;2025-12-05;132;105
AF1011;2025-12-05;132;105
AF1012;2025-12-05;176;140
AF1013;2025-12-05;176;140
KL0000;2025-12-05;318;254
KL0001;2025-12-05;318;254
KL0002;2025-12-05;318;254
KL0003;2025-12-05;318;254
KL0004;2025-12-05;294;235
KL0005;2025-12-05;294;235
KL0006;2025-12-05;294;235
KL0007;2025-12-05;294;235
KL0008;2025-12-05;294;235
KL0009;2025-12-05;294;235
KL0010;2025-12-05;318;254
KL0011;2025-12-05;318;254
KL0012;2025-12-05;318;254
KL0013;2025-12-05;318;254
KL0500;2025-12-05;288;230
KL0501;2025-12-05;288;230
KL0502;2025-12-05;381;304
KL0503;2025-12-05;381;304
KL0504;2025-12-05;288;230
KL0505;2025-12-05;288;230
KL0506;2025-12-05;381;304
KL0507;2025-12-05;381;304
KL0508;2025-12-05;288;230
KL0509;2025-12-05;288;230
KL0510;2025-12-05;381;304
KL0511;2025-12-05;381;304
KL0512;2025-12-05;288;230
KL0513;2025-12-05;288;230
KL1000;2025-12-05;176;140
KL1001;2025-12-05;176;140
KL1002;2025-12-05;176;140
KL1003;2025-12-05;176;140
KL1004;2025-12-05;132;105
KL1005;2025-12-05;132;105
KL1006;2025-12-05;132;105
KL1007;2025-12-05;132;105
KL1008;2025-12-05;176;140
KL1009;2025-12-05;176;140
KL1010;2025-12-05;132;105
KL1011;2025-12-05;132;105
KL1012;2025-12-05;176;140
KL1013;2025-12-05;176;140
AF0000;2025-12-06;318;254
AF0001;2025-12-06;318;254
AF0002;2025-12-06;318;254
AF0003;2025-12-06;318;254
AF0004;2025-12-06;294;235
AF0005;2025-12-06;294;235
AF0006;2025-12-06;318;254
AF0007;2025-12-06;318;254
AF0008;2025-12-06;318;254
AF0009;2025-12-06;318;254
AF0010;2025-12-06;294;235
AF0011;2025-12-06;294;235
AF0012;2025-12-06;294;235
AF0013;2025-12-06;294;235
AF0500;2025-12-06;288;230
AF0501;2025-12-06;288;230
AF0502;2025-12-06;288;230
AF0503;2025-12-06;288;230
AF0504;2025-12-06;381;304
AF0505;2025-12-06;381;304
AF0506;2025-12-06;381;304
AF0507;2025-12-06;381;304
AF0508;2025-12-06;288;230
AF0509;2025-12-06;288;230
AF0510;2025-12-06;381;304
AF0511;2025-12-06;381;304
AF0512;2025-12-06;381;304
AF0513;2025-12-06;381;304
AF1000;2025-12-06;132;105
AF1001;2025-12-06;132;105
AF1002;2025-12-06;132;105
AF1003;2025-12-06;132;105
AF1004;2025-12-06;132;105
AF1005;2025-12-06;132;105
AF1006;2025-12-06;132;105
AF1007;2025-12-06;132;105
AF1008;2025-12-06;132;105
AF1009;2025-12-06;132;105
AF1010;2025-12-06;132;105
AF1011;2025-12-06;132;105
AF1012;2025-12-06;132;105
AF1013;2025-12-06;132;105
KL0000;2025-12-06;294;235
KL0001;2025-12-06;294;235
KL0002;2025-12-06;294;235
KL0003;2025-12-06;294;235
KL0004;2025-12-06;294;235
KL0005;2025-12-06;294;235
KL0006;2025-12-06;318;254
KL0007;2025-12-06;318;254
KL0008;2025-12-06;318;254
KL0009;2025-12-06;318;254
KL0010;2025-12-06;294;235
KL0011;2025-12-06;294;235
KL0012;2025-12-06;318;254
KL0013;2025-12-06;318;254
KL0500;2025-12-06;288;230
KL0501;2025-12-06;288;230
KL0502;2025-12-06;288;230
KL0503;2025-12-06;288;230
KL0504;2025-12-06;288;230
KL0505;2025-12-06;288;230
KL0506;2025-12-06;288;230
KL0507;2025-12-06;288;230
KL0508;2025-12-06;381;304
KL0509;2025-12-06;381;304
KL0510;2025-12-06;288;230
KL0511;2025-12-06;288;230
KL0512;2025-12-06;381;304
KL0513;2025-12-06;381;304
KL1000;2025-12-06;176;140
KL1001;2025-12-06;176;140
KL1002;2025-12-06;176;140
KL1003;2025-12-06;176;140
KL1004;2025-12-06;132;105
KL1005;2025-12-06;132;105
KL1006;2025-12-06;132;105
KL1007;2025-12-06;132;105
KL1008;2025-12-06;176;140
KL1009;2025-12-06;176;140
KL1010;2025-12-06;176;140
KL1011;2025-12-06;176;140
KL1012;2025-12-06;176;140
KL1013;2025-12-06;176;140
AF0000;2025-12-07;294;235
AF0001;2025-12-07;294;235
AF0002;2025-12-07;318;254
AF0003;2025-12-07;318;254
AF0004;2025-12-07;318;254
AF0005;2025-12-07;318;254
AF0006;2025-12-07;318;254
AF0007;2025-12-07;318;254
AF0008;2025-12-07;318;254
AF0009;2025-12-07;318;254
AF0010;2025-12-07;294;235
AF0011;2025-12-07;294;235
AF0012;2025-12-07;294;235
AF0013;2025-12-07;294;235
AF0500;2025-12-07;288;230
AF0501;2025-12-07;288;230
AF0502;2025-12-07;381;304
AF0503;2025-12-07;381;304
AF0504;2025-12-07;381;304
AF0505;2025-12-07;381;304
AF0506;2025-12-07;288;230
AF0507;2025-12-07;288;230
AF0508;2025-12-07;288;230
AF0509;2025-12-07;288;230
AF0510;2025-12-07;288;230
AF0511;2025-12-07;288;230
AF0512;2025-12-07;381;304
AF0513;2025-12-07;381;304
AF1000;2025-12-07;132;105
AF1001;2025-12-07;132;105
AF1002;2025-12-07;176;140
AF1003;2025-12-07;176;140
AF1004;2025-12-07;132;105
AF1005;2025-12-07;132;105
AF1006;2025-12-07;132;105
AF1007;2025-12-07;132;105
AF1008;2025-12-07;176;140
AF1009;2025-12-07;176;140
AF1010;2025-12-07;176;140
AF1011;2025-12-07;176;140
AF1012;2025-12-07;132;105
AF1013;2025-12-07;132;105
KL0000;2025-12-07;294;235
KL0001;2025-12-07;294;235
KL0002;2025-12-07;318;254
KL0003;2025-12-07;318;254
KL0004;2025-12-07;318;254
KL0005;2025-12-07;318;254
KL0006;2025-12-07;318;254
KL0007;2025-12-07;318;254
KL0008;2025-12-07;294;235
KL0009;2025-12-07;294;235
KL0010;2025-12-07;294;235
KL0011;2025-12-07;294;235
KL0012;2025-12-07;294;235
KL0013;2025-12-07;294;235
KL0500;2025-12-07;288;230
KL0501;2025-12-07;288;230
KL0502;2025-12-07;381;304
KL0503;2025-12-07;381;304
KL0504;2025-12-07;381;304
KL0505;2025-12-07;381;304
KL0506;2025-12-07;381;304
KL0507;2025-12-07;381;304
KL0508;2025-12-07;381;304
KL0509;2025-12-07;381;304
KL0510;2025-12-07;381;304
KL0511;2025-12-07;381;304
KL0512;2025-12-07;381;304
KL0513;2025-12-07;381;304
KL1000;2025-12-07;132;105
KL1001;2025-12-07;132;105
KL1002;2025-12-07;132;105
KL1003;2025-12-07;132;105
KL1004;2025-12-07;176;140
KL1005;2025-12-07;176;140
KL1006;2025-12-07;176;140
KL1007;2025-12-07;176;140
KL1008;2025-12-07;176;140
KL1009;2025-12-07;176;140
KL1010;2025-12-07;132;105
KL1011;2025-12-07;132;105
KL1012;2025-12-07;176;140
KL1013;2025-12-07;176;140
==========EOF===========
